1C,1c
ChatGPT,chatgpt
CI/CD,ci-cd
Cinema 4D,cinema-4d
CJM,cjm
Clickhouse,clickhouse
ClickHouse,clickhouse
CMake,cmake
CocoaPods,cocoapods
Compute Cloud,compute-cloud
Conan,conan
Content Provider,content-provider
CoreData,coredata
Coroutines,coroutines
COUNT,count
CRM,crm
CSS,css
CSS Layouts,css-layouts
Custom Properties,custom-properties
Cygwin/Terminal,cygwin-terminal
Cypress,cypress
Daphne,daphne
DataLens,datalens
Datawrapper,datawrapper
DATE TRUNC,date-trunc
DBeaver,dbeaver
DBS,dbs
DevTools,devtools
DFD,dfd
Dirsearch,dirsearch
Django,django
Docker,docker
Docker compose,docker-compose
Docker Hub,docker-hub
DOM,dom
Elasticsearch,elasticsearch
ELK,elk
Email-маркетинг,email-marketing
Empathy map,empathy-map
ER-диаграмма,er-diagram
ETL,etl
Event Storming,event-storming
Event-маркетинг,event-marketing
Evidently,evidently
Excel,excel
Express,express
Express.js,express-js
EXTRACT,extract
FastAPI,fastapi
FBS,fbs
FBY,fby
Ffuf,ffuf
Fiddler,fiddler
FigJam,figjam
Figma,figma
Flexbox,flexbox
GanttPRO,ganttpro
GCD,gcd
Git,git
GitBASH,gitbash
GitHub,github
GitLab CI,gitlab-ci
Go,go
Google Мой бизнес,google-my-business
Google Таблицы,google-spreadsheets
Google Ads,google-ads
Google Analytics,google-analytics
Google Docs,google-docs
Google Sheets,google-sheets
Google Slides,google-slides
Google Tag Manager,google-tag-manager
Gradle,gradle
Grafana,grafana
Grid Layout,grid-layout
GROUP BY,group-by
gRPC,grpc
GUI,gui
Gulp,gulp
Gunicorn,gunicorn
HADI,hadi
Hadoop,hadoop
HAVING,having
HeadHunter,headhunter
Helm,helm
HR-дашборд,hr-dashboard
HR-отчётность,hr-reporting
HTML,html
HTTP,http
HTTPX,httpx
IDE,ide
implicit,implicit
Infrastructure as Code,infrastructure-as-code
IntelliJ IDEA,intellij-idea
IRR,irr
Java,java
Java Core,java-core
JavaScript,javascript
Jenkins,jenkins
Jest,jest
Jira,jira
JSON,json
JSON / XML,json-xml
JSON, XML и XSD,json-xml-xsd
JSON/SOAP,json-soap
JSON/XML,json-xml
JTBD,jtbd
JUnit,junit
Jupyter,jupyter
JVM Tests,jvm-tests
JWT,jwt
Kafka,kafka
Kaiten,kaiten
Kakdela,kakdela
Kanban,kanban
Katana,katana
Keras,keras
Keychain,keychain
Koin,koin
Kotlin,kotlin
Kubernetes,kubernetes
Lean Canvas,lean-canvas
LIMIT,limit
Linux,linux
Linux cron job,linux-cron-job
Load testing,load-testing
Load-balancing,load-balancing
Logging,logging
Logical Properties,logical-properties
Looker Studio,looker-studio
LTV продукта,ltv-product
Matplotlib,matplotlib
Maven,maven
MAX,max
MDE,mde
Metabase,metabase
Metasploit,metasploit
MIN,min
Miro,miro
MLflow,mlflow
Mock-тестирование,mock-testing
MongoDB,mongodb
Monitoring,monitoring
MoSCoW,moscow
Move-семантика,move-semantics
MS Excel,ms-excel
MS PowerPoint,ms-powerpoint
MVC,mvc
MVP,mvp
MVVM,mvvm
Naabu,naabu
Nest.js,nest-js
Network Load Balancer,network-load-balancer
Nexus,nexus
Nginx,nginx
Nmap,nmap
Node JS,node-js
NodeJS и NPM,nodejs-and-npm
Non-perfomance-маркетинг,non-perfomance-marketing
NoSQL,nosql
Notebook,notebook
Notion,notion
NPV,npv
Nuclei,nuclei
OAuth2.0/OIDC,oauth2-oidc
OFFSET,offset
OkHttp,okhttp
OLV,olv
OPEX и CAPEX,opex-and-capex
Optuna,optuna
ORDER BY,order-by
ORM,orm
OWASP ZAP,owasp-zap
Ozon,ozon
P-value,p-value
P&L, BS, CF,pl-bs-cf
Packer,packer
Pandas,pandas
Parcel,parcel
PCA,pca
PDC,pdc
Perfomance-маркетинг,perfomance-marketing
Performance review,performance-review
Personas,personas
PEST-анализ,pest-analysis
PgAdmin,pgadmin
Pipeline,pipeline
PL/pgSQL,pl-pgsql
PMF,pmf
POC (Proof of concept),poc-proof-of-concept
PostCSS,postcss
PostgreSQL,postgresql
Postman,postman
Power BI,power-bi
Power Point,power-point
PowerPoint,powerpoint
Prettier и Stylelint,prettier-and-stylelint
Product growth,product-growth
Prometheus,prometheus
PSB,psb
psql,psql
Pug,pug
PyCharm,pycharm
pydantic,pydantic
Pytest,pytest
Python,python
RabbitMQ,rabbitmq
RAII,raii
RAS,ras
React,react
React Router,react-router
Redis,redis
Redux,redux
REST,rest
REST / SOAP API,rest-soap-api
REST API,rest-api
REST Assured,rest-assured
RestAssured,restassured
Retrofit,retrofit
RFM-анализ,rfm-analysis
Room,room
RxJava,rxjava
S/T-learner,s-t-learner
SASS и SCSS,sass-and-scss
SCAMPER,scamper
Scikit-learn,scikit-learn
SciPy,scipy
Scrum,scrum
seaborn,seaborn
Selenide,selenide
Selenium WebDriver,selenium-webdriver
Sendsay,sendsay
SEO,seo
Server Side Rendering,server-side-rendering
SExI,sexi
Shodan,shodan
SMART,smart
SMM,smm
SOL,sol
SonarQube,sonarqube
Sourcing Extensions,sourcing-extensions
Spark,spark
Spark Streaming,spark-streaming
Spring,spring
Spring Boot,spring-boot
Spring Data,spring-data
Spring Security,spring-security
SQL,sql
SQLite,sqlite
SQLMap,sqlmap
SSL,ssl
STL,stl
SUM,sum
Supa,supa
SVD,svd
SVG,svg
Swagger,swagger
Swift,swift
Tableau,tableau
TCP/IP,tcp-ip
TCP/UDP,tcp-udp
Telega.in,telega-in
Telegram Ads,telegram-ads
Telemetr,telemetr
Terminal,terminal
Terraform,terraform
TGStat,tgstat
Think-cell,think-cell
Tilda,tilda
TMS,tms
Tone of Voice,tone-of-voice
Tortoise,tortoise
Trello,trello
Triple Diamond,triple-diamond
Troubleshooting,troubleshooting
TypeScript,typescript
U2U, 121, ALS,u2u-121-als
Ubuntu,ubuntu
UI,ui
UI Testing,ui-testing
UI-Kit,ui-kit
UICollectionView,uicollectionview
UIKit,uikit
UML,uml
UML-диаграммы,uml-diagrams
Unit Testing,unit-testing
Unit-экономика,unit-economics
Use case,use-case
User / Job Story,user-job-story
User Experience,user-experience
User Journey Map,user-journey-map
User Stories,user-stories
UserDefaults,userdefaults
Uvicorn,uvicorn
UX,ux
UX-копирайтинг,ux-copywriting
UX-тестирование,ux-testing
UX/UI-дизайн,ux-ui-design
Videoleap,videoleap
Virtual Private Cloud,virtual-private-cloud
VK Реклама,vk-advertising
VS Code,vs-code
Waterfall,waterfall
WBS,wbs
Web API,web-api
Webpack,webpack
WebSocket,websocket
Wiki,wiki
Wildberries,wildberries
Wordstat,wordstat
X8,x8
XML,xml
XML/XSD,xml-xsd
XPath,xpath
YAML,yaml
Yandex Cloud,yandex-cloud
YandexGPT,yandexgpt
YouTrack,youtrack
Ysoserial,ysoserial
Zoom,zoom
